test_id,case,config_sha256,quantity,expected,measured,error,tolerance,status,verification_kind,run_dir,note
G02,examples/ten_pulses.json,c4092f673f381394113538904635c4a4ba4859ece8d0532b64ccc72b9eccf83e,去除体积 (m^3),3.1415926535897933e-16,3.1410999999999994e-16,0.00015681650809534368,rel <= 1%,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\g02_ten_pulses,314.159265358979 um^3
G03,零事件,,去除体积 (m^3),0.0,0.0,0.0,== 0（事件数为 0）,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\g01_single_pulse,空路径不制造去除
G03,等阈值,,最大去除深度 (m),0.0,0.0,0.0,== 0（F <= Fth）,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\g01_single_pulse,先掩膜后取对数
G03,无效能量（负）,,是否拒绝,拒绝（CONFIG_INVALID）,已拒绝,,,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\g01_single_pulse,
G03,无效半径（负）,,是否拒绝,拒绝（CONFIG_INVALID）,已拒绝,,,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\g01_single_pulse,
G03,NaN 参数,,是否拒绝,拒绝（CONFIG_INVALID）,已拒绝,,,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\g01_single_pulse,
G03,域外照射,,发射/截获能量 (J),发射 1.160670e-05，截获 0,发射 1.160670e-05，截获 0.000000e+00,,截获 == 0 且不去除,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\g01_single_pulse,遗漏能量不归一化回域内
G03,缺 δ 请求深度,data/materials/cfrp_t700_yb01_800nm.json,是否拒绝,拒绝（MATERIAL_CAPABILITY_MISSING）,已拒绝,,,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\g01_single_pulse,不悄悄切换合成模式
G04,examples/line_scan.json,8e610d924c2d3187f51988fb70ffc44862359c08ebce2daf9328d4d02e9ca15e,事件数,7,7,0,== 7,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\g04_line_scan,"段 [0,7/f) 左闭右开，终点不产生脉冲"
G04,examples/line_scan.json,8e610d924c2d3187f51988fb70ffc44862359c08ebce2daf9328d4d02e9ca15e,位置间距 v/f (m),1e-05,9.999999999999999e-06,1.6940658945086004e-16,rel <= 1e-9,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\g04_line_scan,"v=1 m/s, f=100 kHz"
G04,examples/line_scan.json,8e610d924c2d3187f51988fb70ffc44862359c08ebce2daf9328d4d02e9ca15e,ROI 可用,True,True,,== True,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\g04_line_scan,实际面积 3.170000e-10 m^2
G04,examples/line_scan.json,8e610d924c2d3187f51988fb70ffc44862359c08ebce2daf9328d4d02e9ca15e,全域平均深度 (m),V/A,2.361380496720783e-08,0.0,与 V/A 一致,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\g04_line_scan,与 ROI 平均分别输出
G04,正反向扫描,,深度场最大绝对差,0.0,2.9116757561866574e-22,2.9116757561866574e-22,rel <= 1e-12（对称工况）,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\g04_line_scan,固定阈值、关闭几何反馈
G04,统一时钟,,时间戳重复数,0,0,0,== 0,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\g04_line_scan,段区间左闭右开
C-raster,examples/raster_multipass.json,b46f8b12eba567760060eaae32b4cd045a04f23a1033a4d45e8f724162287f80,事件数,105,105,0,== 105（5 行 × 7 点 × 3 遍）,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\c_raster_multipass,
C-raster,examples/raster_multipass.json,b46f8b12eba567760060eaae32b4cd045a04f23a1033a4d45e8f724162287f80,遍数快照,4,4,,>= 3 遍 + 最终,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\c_raster_multipass,snapshot_policy=passes
C-raster,examples/raster_multipass.json,b46f8b12eba567760060eaae32b4cd045a04f23a1033a4d45e8f724162287f80,多 ROI 分别统计,2,2,0,== 2,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\c_raster_multipass,空 ROI 会返回不可用状态
M0-synthetic,examples/synthetic_demo_point.json,4a20fd94acbb0f54eb738b66c4081fde3d1584e4cecd0923a1b1c3a92209ebb4,单位系统,dimensionless,dimensionless,,== dimensionless,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\m0_synthetic_demo,禁止导出物理 um 深度
M0-synthetic,examples/synthetic_demo_point.json,4a20fd94acbb0f54eb738b66c4081fde3d1584e4cecd0923a1b1c3a92209ebb4,中心深度 (L_ref),10.0,10.0,0.0,rel <= 1e-12,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\m0_synthetic_demo,5 脉冲 × 2.0（h/L_ref 无量纲）；depth 与几何同一长度尺度
G05,examples/ysz_reference_case.json,54e5133e7eb2e8197218d9dcb2b9c6d4924e7305c8c54caa79aef0eea5e623b2,YSZ 扫描速度 (mm/s),278.9734276388,278.97342763877356,9.474805537572104e-14,rel <= 1e-12,通过,公式核查,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\g05_ysz_reference,"式(9) N_eff=(pi/4)*(2*w0*f)/v 反解；w0=16um, f=33300Hz, N_eff=3"
G05,examples/ysz_reference_case.json,54e5133e7eb2e8197218d9dcb2b9c6d4924e7305c8c54caa79aef0eea5e623b2,错误换算 2*w0*f/N (mm/s),355.2,355.19999999999993,1.6003214769371628e-16,rel <= 1e-12,通过,公式核查,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\g05_ysz_reference,仅作对照：与式(9) 相差 27.3%，不参与任何物理输出
G05,examples/ysz_reference_case.json,54e5133e7eb2e8197218d9dcb2b9c6d4924e7305c8c54caa79aef0eea5e623b2,YSZ 脉冲能量 (uJ),201.464053689406,201.4640536894062,9.875308392213193e-16,rel <= 1e-12,通过,公式核查,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\g05_ysz_reference,"E=F0*pi*w0^2/2；F0=50.1 J/cm^2, w0=16um（条件一致性检查）"
G05,examples/sic_reference_case.json,07c0b1f454b21e5e17465f1c0d1023bedd6df5d6a49362417c7d5711ce1c5a44,SiC Fth(1) (J/cm^2),2.35,2.35,0.0,rel <= 1e-15,通过,公式核查,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\g05_sic_reference,式(6) Fth(N)=F_inf+(F1-F_inf)*exp(-k*(N-1))
G05,examples/sic_reference_case.json,07c0b1f454b21e5e17465f1c0d1023bedd6df5d6a49362417c7d5711ce1c5a44,SiC Fth(N->inf) (J/cm^2),0.7,0.7,0.0,rel <= 1e-9,通过,公式核查,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\g05_sic_reference,
G05,examples/sic_reference_case.json,07c0b1f454b21e5e17465f1c0d1023bedd6df5d6a49362417c7d5711ce1c5a44,SiC k (1/pulse),0.0199,0.0199,0.0,== 0.0199（卡内值）,通过,公式核查,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\g05_sic_reference,取自材料卡 multi_response，不在算例里硬编码
G05,examples/sic_reference_case.json,07c0b1f454b21e5e17465f1c0d1023bedd6df5d6a49362417c7d5711ce1c5a44,平均率 / 协议累计深度 独立输出,两项分别给出，累计=平均×N_eff,平均 59.5674 nm/有效脉冲；N=720 累计 42.8885 um,,rel <= 1e-12,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\g05_sic_reference,语义 mean_depth_per_effective_pulse；不自动累加到逐脉冲网格
G05,（语义闸门）,,平均率/累计量能否进入事件核,拒绝（RESPONSE_SEMANTICS_INVALID）,已拒绝,,,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\g05_sic_reference,即使数组形状吻合也不放行
G05,（参考运行目录）,,是否写出形貌表面文件,不写（参考评估器不求解网格）,"文件：config.json, diagnostics.json, material_snapshot.json, metadata.json, profiles.csv, snapshots, statistics.csv, watermark.json",,,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\g05_ysz_reference,目录中无 final_surface.npz，避免被误当形貌结果
G06,examples/alsic_particle_composite.json,b2cb28c65400ef229fd3f445cbcd1c3690219ab05982a469e6b50a71c63534b9,结构实例求解状态,completed（合成结构，内部单位）,颗粒增强铝基（合成）｜结构类型 particle_composite｜种子 20260910｜事件 21,,,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\g06_alsic_particles,相响应为内联合成定义；跨相截断为有损近似
G06,examples/cfrp_laminated_ply.json,fb1d5adbe4e92499f760bcba15c0d47981f7e45d1c0f271d8570d466df4ae98f,结构实例求解状态,completed（合成结构，内部单位）,CFRP 铺层 [0/90/0/90]（合成）｜结构类型 laminated_fiber_composite｜种子 20260911｜事件 16,,,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\g06_cfrp_plies,相响应为内联合成定义；跨相截断为有损近似
G06,examples/（两个合成结构算例）,,同相合并等价,合并前后几何逐位一致,合并 3→2 层，几何逐位一致,,,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance,同相相邻铺层合并后 phase_at / next_different_interface 与预合并单层等价
G06,examples/（两个合成结构算例）,,同相层界不假截断/不同相不跳过,同相列 inf；异相列 = 层厚,同相列 inf；异相列 1（= 层厚）,,,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance,同相层界不假截断，真实相界面距离解析给出
G06,examples/（两个合成结构算例）,,颗粒界面不跳过,进入/离开距离解析命中,进入 0.3｜离开 0.5｜无颗粒列 inf,,,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance,解析射线-球求交：进入/离开界面均命中，不越过
G06,examples/（两个合成结构算例）,,不拆伪脉冲,单次应用 = 单一相核候选量,中心列一次应用 0.1887093983 = 单一纤维核 0.1887093983,,,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance,一个真实脉冲只调用当前暴露相的一个核，未拆成两相叠加
G06,examples/（两个合成结构算例）,,固定种子重现,同种子逐位一致，异种子不同,同种子 7 个颗粒逐位一致；异种子几何不同,,,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance,固定种子可复现，且换种子确有影响
G06,examples/（两个合成结构算例）,,目标/实际体积分数分列,两者分别给出且方法可追溯,"目标 0.32｜实际 {""Al_matrix"": 0.72815, ""SiC_particle"": 0.27185}（grid_sample, n=20000）",,,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance,目标与实际体积分数分别报告，不强制相等
G06,examples/（两个合成结构算例）,,跨相截断命名与诊断,「未应用候选去除体积」+ 四项统计,截断事件 14｜相切换事件 14｜未应用占比 0.02175,,,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance,截断量命名为「未应用候选去除体积」，且不以剩余能量表述
G06,examples/（两个合成结构算例）,,红线：旧 δ 字段,拒绝（RESPONSE_SEMANTICS_INVALID）,RESPONSE_SEMANTICS_INVALID,,,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance,相 'x' 使用了旧字段 delta_over_delta_ref
G06,examples/（两个合成结构算例）,,红线：相借用其它材料卡,拒绝（MATERIAL_CAPABILITY_MISSING）,MATERIAL_CAPABILITY_MISSING,,,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance,相 'SiC_particle' 不能引用其它材料卡（material_id='sic_4h_cface_1035nm_multishot'）
G06,examples/（两个合成结构算例）,,红线：相沿用整体阈值来源,拒绝（MATERIAL_CAPABILITY_MISSING）,MATERIAL_CAPABILITY_MISSING,,,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance,相 'resin' 的 response_source='parent_card_threshold' 不被允许
G06,examples/（两个合成结构算例）,,红线：整体阈值拆给分相,拒绝（MATERIAL_CAPABILITY_MISSING）,MATERIAL_CAPABILITY_MISSING,,,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance,相 'resin' 的阈值与父卡整体阈值相同（0.84）
G06,examples/（两个合成结构算例）,,红线：结构×动态角度互斥,拒绝（CONFIG_INVALID）,CONFIG_INVALID,,,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance,配置层拦截：分相截断与动态角度不得同时启用
G06,examples/（两个合成结构算例）,,红线：结构类型与卡一致,拒绝（CONDITION_MISMATCH）,CONDITION_MISMATCH,,,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance,结构类型与材料卡声明不一致时拒绝
G09-UI,app.py（Streamlit）,,初始渲染无异常,无异常,无异常,,,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\_ui_probe,六标签页：参数与运行 / 结果 / 参考评估器 / 查表 / 七材料能力入口 / 历史运行
G09-UI,app.py（Streamlit）,,初始 solve_count,0,0,,,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\_ui_probe,未提交前不得求解
G09-UI,app.py（Streamlit）,,初始无冻结结果,frozen=None,frozen=None,,,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\_ui_probe,
G09-UI,app.py（Streamlit）,,提交计算：solve_count 恰好 +1,1,1,,,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\_ui_probe,run_id=ui_run_20260917T055159_lwh9｜status=completed
G09-UI,app.py（Streamlit）,,改参数未提交：旧结果标为「上一次运行」且不求解,is_stale=True｜solve_count=1｜界面出现「上一次运行」,is_stale=True｜solve_count=1｜label=上一次运行（2026-09-17T05:51:59.930703+00:00）,,,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\_ui_probe,执行细则 11.3
G09-UI,app.py（Streamlit）,,改参数后 solve_count 不变,1,1,,,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\_ui_probe,
G09-UI,app.py（Streamlit）,,快照回放 / 切图层 / 旋转视图 / 切截面：solve_count 不变,1（不变）,1,,,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\_ui_probe,执行细则 11.3「只旋转视图、切换图层/截面/快照时读取已有数据」
G09-UI,app.py（Streamlit）,,读取历史运行：read_count +1 且 solve_count 不变,read_count=1｜solve_count=0,read_count=1｜solve_count=0｜run_id=ui_run_20260917T055159_lwh9,,,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\_ui_probe,读取不等于用当前参数求解
G09-UI,app.py（Streamlit）,,回放水印与导出 watermark.json 逐字段一致,material_id/run_mode/unit_mode 全部一致,导出存在=True｜material_id=analytic_fixture_not_a_material｜run_mode=reference_case｜unit_mode=SI,,,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\_ui_probe,批次 H：导出=回放，标签不再各写一份
G09-UI,app.py（Streamlit）,,参考评估器「评估」：不进入逐事件求解、不产生形貌,solve_count=0｜产出参考结果｜frozen=None,solve_count=0｜有参考结果=True｜frozen=None,,,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\_ui_probe,参考评估器只做公式核查（批次 D 语义）
G09-UI,app.py（Streamlit）,,查表「查值」：不触发求解、不读取历史,solve_count=0｜产出查表结果｜read_count=0,solve_count=0｜read_count=0｜有查表结果=True,,,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\_ui_probe,批次 F：查表是纯读取，不是求解
G09-UI,app.py（Streamlit）,,切换曲线卡 / 插值方法：solve_count 始终为 0,0（不变）,曲线数=4｜异常组合=无,,,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\_ui_probe,批次 F：换曲线/换算法不得触发求解
G09-UI,app.py（Streamlit）,,七材料能力入口：全部条目探针实跑通过,未核验=0｜探针全通过｜开放/红线/缺口均绑定依据,"开放=15｜红线=11｜缺口=1[('金刚石', '合成形貌')]｜未核验=0",,,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\_ui_probe,批次 H：拦截与缺口都必须有可执行证据，不得只在文档中声称
G09-UI,app.py（Streamlit）,,金刚石「合成形貌」记为缺口而非开放,opened 中不含「合成形貌」,"opened=['导入入口', '条件对应阈值']",,,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\_ui_probe,规格要求开放但实现未支持，必须如实标为缺口并证明当前打不开
G09-UI,app.py（Streamlit）,,图层标签不含被禁措辞（严格子串：热影响区/HAZ/温度…）,全部通过,全部通过,,,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\_ui_probe,执行细则 11.3 措辞守卫
G09-UI,app.py（Streamlit）,,缺能力模式显示准确不可用原因（不自动降级、不静默填值）,拒绝并给出原因,"允许=False｜原因=材料卡未开放 reference_case 模式；允许：['threshold_only', 'synthetic_demo']",,,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\_ui_probe,配置层拦截，而非仅按钮禁用
G09-UI,app.py（Streamlit）,,合成模式禁止导出物理深度,以 depth_um 命名时拒绝；depth 标签非 um,导出标签=depth/L_ref｜拒绝 depth_um=True,,,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\_ui_probe,执行细则 4.1：合成深度与微米平面坐标不可混算
G09-UI,app.py（Streamlit）,,threshold_only/参考结果：去除量显示「不提供」而非 0,removal_available=False,removal_available=False｜run_id=g05_ysz_reference,,,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\_ui_probe,界面不显示数值零冒充「无去除」
G09-UI,app.py（Streamlit）,,求解模式可切为「冻结几何分组」并产出批量诊断,solve_count+1｜acceleration_diagnostics.grouped=True｜含块数与批大小,solve_count=0→1｜grouped=True｜批大小=5｜块=1｜拒绝/回退=0｜补丁复用率=0.0,,,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\_ui_probe,批次 I：细则 12 节要求界面显示实际批大小、拒绝/回退次数与运行时间
G09-UI,app.py（Streamlit）,,参考模式：加速面板如实说明未启用批量（不假装加速过）,grouped=False｜effective_mode=reference｜含「非全局误差证明」边界说明,grouped=False｜effective_mode=reference｜boundary_note 存在=True,,,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\_ui_probe,批次 I：局部误差估计不是全局误差证明，边界必须写明
G09-UI,app.py（Streamlit）,,几何修正：入射角/动态角度可切换，且支持范围与近似标注可见,solve_count+1｜斜入射与动态角度均生效｜面板含 n_z/入射角支持范围,solve_count=0→1｜斜入射=True｜动态角度=True｜光轴夹角=59.99999999999999｜法向厚度转换=0｜支持范围 n_z≥0.5、入射角≤60.0,,,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\_ui_probe,批次 J / T19：两增强对照可检查、支持范围与误差标识可见
G09-UI,app.py（Streamlit）,,正入射：不显示几何修正面板（未启用即不显示）,geometry_diagnostics 为空字典,空字典=True,,,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\_ui_probe,与批次 G/H/I 同口径：未启用不返回假数据
G09-UI,app.py（Streamlit）,,探针运行输出位置,隔离到 C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\_ui_probe,已写入 476 个运行目录,,,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\_ui_probe,UFDEMO_RUNS_DIR 覆盖，不污染工作区 runs/
G09-UI,app.py（Streamlit）,,提交运行目录,存在 metadata.json,存在,,,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\_ui_probe,
G09-demo,app.py（端到端链路）,,示例发现,cfrp_laminated_ply.json 出现在界面示例列表,在列表中,,,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\_ui_demo_probe,示例由 list_examples 扫目录自动纳入界面下拉
G09-demo,app.py（端到端链路）,,示例发现,alsic_particle_composite.json 出现在界面示例列表,在列表中,,,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\_ui_demo_probe,示例由 list_examples 扫目录自动纳入界面下拉
G09-demo,app.py（端到端链路）,,逻辑层提交,cfrp_laminated_ply.json 提交后 status=completed,status=completed｜solve_count=1｜快照=4,,,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\_ui_demo_probe,走 ui_service.submit（界面唯一求解入口）
G09-demo,app.py（端到端链路）,,逻辑层提交,alsic_particle_composite.json 提交后 status=completed,status=completed｜solve_count=1｜快照=2,,,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\_ui_demo_probe,走 ui_service.submit（界面唯一求解入口）
G09-demo,app.py（端到端链路）,,只读不重算,渲染/切图层/取快照后 solve_count 不变,1 -> 1,,,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\_ui_demo_probe,图层与诊断均为纯读取
G09-demo,app.py（端到端链路）,,只读不重算,渲染/切图层/取快照后 solve_count 不变,1 -> 1,,,通过,数值实现验证,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\runs\acceptance\_ui_demo_probe,图层与诊断均为纯读取
